FOOD_CODE|Name|Group|Type|Abu (ASH)|Air (Water)|Besi (Fe)|Beta-Karoten (Carotenes)|Energi (Energy)|Fosfor (P)|Kalium (K)|Kalsium (Ca)|Karbohidrat (CHO)|Karoten Total (Re)|Lemak (Fat)|Natrium (Na)|Niasin (Niacin)|Protein (Protein)|Retinol (Vit. A)|Riboflavin (Vit. B2)|Seng (Zn)|Serat (Fibre)|Tembaga (Cu)|Thiamin (Vit. B1)|Vitamin C (Vit. C)
DR124|Squash, fresh|Vegetables|Raw|1.0 g|91.2 g|1.4 mg|712 mcg|32 Kal|64 mg|356.2 mg|45 mg|6.6 g|180 mcg|0.1 g|1 mg|0.6 mg|1.1 g|0|0.12 mg|0.3 mg|0.5 g|0.13 mg|0.08 mg|52 mg
DR125|Lantar, fresh|Vegetables|Raw|0.8 g|91.2 g|0.4 mg|38 mcg|34 Kal|58 mg|155.0 mg|10 mg|5.5 g|0|0.3 g|3 mg|0.4 mg|2.2 g|0|0.07 mg|0.4 mg|2.9 g|0.20 mg|0.30 mg|4 mg
DR126|Radish, fresh|Vegetables|Raw|0.7 g|94.1 g|0.6 mg|0 mcg|21 Kal|26 mg|109.3 mg|35 mg|4.2 g|10 mcg|0.1 g|49 mg|0.3 mg|0.9 g|0|0.04 mg|0.2 mg|1.4 g|0.03 mg|0.03 mg|32 mg
DR127|Black nighshade, fresh|Vegetables|Raw|0.5 g|90.5 g|1.0 mg|25 mcg|38 Kal|55 mg|0|7 mg|7.6 g|0|0.3 g|2 mg|0.6 mg|1.1 g|0|0.10 mg|0.3 mg|2.0 g|0.10 mg|0.20 mg|17 mg
DR128|Bago, fresh|Vegetables|Raw|1.0 g|80.0 g|2.8 mg|0|66 Kal|75 mg|0|163 mg|13.3 g|1,000 mcg|0.7 g|0|0|5.0 g|0|0|0|0|0|0.10 mg|100 mg
DR129|Mustard Greens|Vegetables|Raw|1.1 g|91.4 g|3.1 mg|1,575 mcg|33 Kal|30 mg|100.0 mg|60 mg|4.7 g|0|0.5 g|20 mg|0.1 mg|2.3 g|0|0.10 mg|0.4 mg|1.8 g|0.10 mg|0.20 mg|12 mg
DR130|Jackfruit, unripe, fresh|Vegetables|Raw|0.9 g|85.4 g|0.5 mg|21 mcg|57 Kal|29 mg|246.5 mg|45 mg|11.3 g|25 mcg|0.4 g|1 mg|0.7 mg|2.0 g|0|0.06 mg|0.1 mg|8.3 g|0.04 mg|0.07 mg|9 mg
DR131|White bitter melon, fresh|Vegetables|Raw|0.6 g|94.4 g|0.9 mg|197 mcg|19 Kal|65 mg|277.7 mg|31 mg|3.6 g|80 mcg|0.4 g|5 mg|0.4 mg|1.0 g|0 mcg|0.04 mg|0.8 mg|1.3 g|0.03 mg|0.18 mg|58 mg
DR132|Snake gourd, fresh|Vegetables|Raw|0.3 g|95.1 g|0.4 mg|69 mcg|19 Kal|10 mg|30.0 mg|20 mg|3.9 g|0|0.1 g|130 mg|0.1 mg|0.6 g|0|0.10 mg|0.1 mg|1.0 g|0.10 mg|0.10 mg|9 mg
DR133|Papaya, unripe, fresh|Vegetables|Raw|0.6 g|92.3 g|0.4 mg|0 mcg|29 Kal|16 mg|211.2 mg|50 mg|4.9 g|50 mcg|0.1 g|22 mg|0.3 mg|2.1 g|0|0.03 mg|0.0 mg|2.1 g|0.01 mg|0.02 mg|19 mg
DR134|Bitter (petai) bean, fresh|Vegetables|Raw|1.1 g|77.2 g|1.6 mg|114 mcg|92 Kal|170 mg|221.0 mg|14 mg|15.2 g|0|1.1 g|55 mg|6.1 mg|5.4 g|0|0.10 mg|0.8 mg|2.0 g|0.20 mg|0.80 mg|34 mg
DR135|Parsley, fresh|Vegetables|Raw|2.4 g|83.9 g|4.3 mg|2,940 mcg|53 Kal|84 mg|1,125.6 mg|193 mg|9.0 g|8,230 mcg|1.0 g|18 mg|0.7 mg|3.7 g|0|0.29 mg|1.4 mg|0.0 g|0.20 mg|0.11 mg|193 mg
DR136|Black nighshade leaves, fresh|Vegetables|Raw|1.3 g|91.0 g|2.9 mg|0|33 Kal|75 mg|0.0 mg|13 mg|2.8 g|0|0.4 g|2 mg|0|4.5 g|0|0.10 mg|0.6 mg|0|0.20 mg|0.50 mg|41 mg
DR137|Shameplant|Vegetables|Raw|1.3 g|80.2 g|3.3 mg|4,762 mcg|76 Kal|84 mg|631.0 mg|119 mg|14.6 g|0|0.3 g|1 mg|0|3.6 g|0|0.60 mg|1.4 mg|7.1 g|0.60 mg|0.60 mg|6 mg
DR138|Bamboo shoot, fresh|Vegetables|Raw|0.5 g|93.3 g|0.5 mg|10 mcg|25 Kal|5 mg|206.0 mg|3 mg|5.3 g|0|0.1 g|3 mg|0.5 mg|0.8 g|0|0.07 mg|0.4 mg|9.7 g|0.10 mg|0.20 mg|0 mg
DR139|Turkey berry, fresh|Vegetables|Raw|1.2 g|80.8 g|0.6 mg|51 mcg|75 Kal|97 mg|234.0 mg|55 mg|15.8 g|0|0.6 g|20 mg|1.3 mg|1.6 g|0|0.10 mg|0.4 mg|10.0 g|0.40 mg|0.40 mg|38 mg
DR140|Seaweed|Vegetables|Raw|3.2 g|87.0 g|1.6 mg|1,958 mcg|41 Kal|20 mg|380.0 mg|80 mg|8.1 g|0|0.3 g|250 mg|0.1 mg|1.4 g|0|0.00 mg|0.4 mg|2.2 g|0.20 mg|0.20 mg|7 mg
DR141|Mustard greens, fresh|Vegetables|Raw|1.2 g|92.2 g|2.9 mg|2,042 mcg|28 Kal|38 mg|436.5 mg|220 mg|4.0 g|6,460 mcg|0.3 g|22 mg|0.7 mg|2.3 g|0|0.23 mg|0.2 mg|2.5 g|0.12 mg|0.09 mg|102 mg
DR142|Napa cabbage, fresh|Vegetables|Raw|0.6 g|96.6 g|1.1 mg|862 mcg|9 Kal|42 mg|193.1 mg|56 mg|1.7 g|832 mcg|0.1 g|5 mg|0.4 mg|1.0 g|0 mcg|0.18 mg|0.1 mg|0.8 g|0.05 mg|0.05 mg|3 mg
DR143|Taiwan mustard greens, fresh|Vegetables|Raw|1.4 g|91.8 g|1.6 mg|1,340 mcg|30 Kal|58 mg|217.0 mg|100 mg|4.4 g|0|0.5 g|27 mg|0.6 mg|1.9 g|0|0.10 mg|0.7 mg|2.7 g|0.10 mg|0.20 mg|33 mg
DR144|Mustard greens, fresh|Vegetables|Raw|1.0 g|94.9 g|1.2 mg|815 mcg|19 Kal|45 mg|145.0 mg|92 mg|2.9 g|0|0.2 g|17 mg|0.1 mg|1.3 g|0|0.10 mg|0.4 mg|2.2 g|0.10 mg|0.20 mg|36 mg
DR145|Lettuce, fresh|Vegetables|Raw|0.9 g|94.8 g|0.5 mg|1,526 mcg|18 Kal|25 mg|186.4 mg|22 mg|2.9 g|540 mcg|0.2 g|19 mg|0.4 mg|1.2 g|0|0.13 mg|0.2 mg|1.8 g|0.03 mg|0.04 mg|8 mg
DR146|Watercress, fresh|Vegetables|Raw|1.2 g|93.3 g|2.4 mg|1,230 mcg|17 Kal|152 mg|260.7 mg|95 mg|2.2 g|3,727 mcg|0.2 g|65 mg|0.7 mg|3.1 g|0 mcg|0.14 mg|0.2 mg|0.7 g|0.11 mg|0.09 mg|56 mg
DR147|Celery, fresh|Vegetables|Raw|1.3 g|93.0 g|1.0 mg|63 mcg|23 Kal|40 mg|258.8 mg|50 mg|4.6 g|130 mcg|0.1 g|64 mg|0.4 mg|1.0 g|0|0.07 mg|0.4 mg|2.0 g|0.08 mg|0.03 mg|11 mg
DR148|Bean sprouts, fresh|Vegetables|Raw|0.4 g|90.4 g|0.8 mg|41 mcg|34 Kal|74 mg|93.3 mg|166 mg|4.3 g|20 mcg|1.2 g|19 mg|1.1 mg|3.7 g|0|0.15 mg|0.4 mg|1.1 g|0.16 mg|0.09 mg|5 mg
DR149|Sprouts of soybean, fresh|Vegetables|Raw|1.0 g|81.0 g|1.0 mg|0 mcg|76 Kal|65 mg|212.4 mg|50 mg|6.4 g|110 mcg|2.6 g|5 mg|1.2 mg|9.0 g|0|0.19 mg|0.7 mg|0.7 g|0.26 mg|0.23 mg|15 mg
DR150|Sprouts of blackeyed pea, fresh|Vegetables|Raw|1.0 g|88.0 g|1.0 mg|299 mcg|40 Kal|88 mg|226.8 mg|57 mg|5.8 g|0 mcg|0.2 g|2 mg|0.8 mg|5.0 g|0|0.08 mg|0.5 mg|2.6 g|0.07 mg|0.07 mg|15 mg
DR151|Ratoon sugarcane, fresh|Vegetables|Raw|1.0 g|91.0 g|2.0 mg|12 mcg|30 Kal|80 mg|0|40 mg|3.0 g|0 mcg|0.4 g|699 mg|1.2 mg|4.6 g|0|0.20 mg|1.1 mg|0.8 g|0.20 mg|0.08 mg|50 mg
DR152|Pea eggplants, fresh|Vegetables|Raw|1.0 g|89.0 g|2.0 mg|23 mcg|34 Kal|30 mg|333.3 mg|50 mg|7.9 g|750 mcg|0.1 g|3 mg|0.9 mg|2.0 g|0|0.05 mg|0.2 mg|4.9 g|0.12 mg|0.08 mg|8 mg
DR153|Pea eggplants, dried|Vegetables|Raw|8.1 g|12.3 g|22.2 mg|187 mcg|302 Kal|180 mg|0.0 mg|370 mg|72.6 g|750 mcg|1.7 g|9 mg|5.1 mg|8.3 g|0|0.17 mg|1.0 mg|21.2 g|1,044.20 mg|0.40 mg|0 mg
DR154|Eggplant, fresh|Vegetables|Raw|0.5 g|92.7 g|0.4 mg|46 mcg|28 Kal|37 mg|187.0 mg|15 mg|5.5 g|30 mcg|0.2 g|9 mg|0.5 mg|1.1 g|0|0.03 mg|0.1 mg|2.1 g|0.10 mg|0.04 mg|5 mg
DR155|Sour eggplant, fresh|Vegetables|Raw|0.8 g|90.5 g|1.5 mg|97 mcg|37 Kal|59 mg|155.0 mg|13 mg|6.3 g|0|0.4 g|3 mg|0.8 mg|2.0 g|0|0.10 mg|0.3 mg|3.2 g|0.30 mg|0.20 mg|4 mg
DR156|Dutch eggplant, fresh|Vegetables|Raw|1.0 g|87.3 g|1.1 mg|0|52 Kal|40 mg|0|16 mg|8.6 g|8,048 mcg|1.1 g|0|0.0 mg|2.1 g|0 mcg|0.06 mg|0|1.4 g|0|0.42 mg|12 mg
DR157|Bengkulu eggplant, fresh|Vegetables|Raw|0.8 g|86.6 g|1.1 mg|85 mcg|52 Kal|39 mg|0|19 mg|11.2 g|600 mcg|0.4 g|14 mg|0.0 mg|1.1 g|0 mcg|0.04 mg|1.0 mg|3.2 g|0.16 mg|0.23 mg|6 mg
DR158|Hintaro eggplant, fresh|Vegetables|Raw|0.6 g|89.2 g|1.0 mg|552 mcg|45 Kal|268 mg|142.0 mg|19 mg|7.5 g|0|0.8 g|167 mg|0|1.9 g|0|0.40 mg|0.2 mg|5.1 g|0.60 mg|0.20 mg|4 mg
DR159|Long eggplant|Vegetables|Raw|0.7 g|91.8 g|0.7 mg|83 mcg|25 Kal|24 mg|53.7 mg|38 mg|5.3 g|24 mcg|0.1 g|9 mg|0.7 mg|2.1 g|0 mcg|0.06 mg|0.2 mg|0.5 g|0.09 mg|0.15 mg|8 mg
DR160|Tomato, juice, fresh|Vegetables|Raw|1.3 g|94.0 g|0.4 mg|266 mcg|20 Kal|15 mg|225.2 mg|7 mg|3.5 g|600 mcg|0.2 g|10 mg|0.7 mg|1.0 g|0|0.03 mg|0.1 mg|0.4 g|0.06 mg|0.05 mg|10 mg
DR161|Red tomato, fresh|Vegetables|Raw|0.6 g|92.9 g|0.6 mg|575 mcg|24 Kal|77 mg|164.9 mg|8 mg|4.7 g|2,083 mcg|0.5 g|10 mg|0.4 mg|1.3 g|0|0.07 mg|0.2 mg|1.5 g|0.14 mg|0.06 mg|34 mg
DR162|Green tomato, fresh|Vegetables|Raw|2.0 g|93.0 g|0.5 mg|384 mcg|24 Kal|27 mg|210.0 mg|5 mg|3.3 g|320 mcg|0.7 g|10 mg|0.7 mg|2.0 g|0|0.04 mg|0.2 mg|1.8 g|0.07 mg|0.07 mg|30 mg
DR163|Uceng/ bago flower, fresh|Vegetables|Raw|1.7 g|79.5 g|2.4 mg|0|82 Kal|266 mg|0|70 mg|11.7 g|58 mcg|1.3 g|0|0|5.8 g|0|0.15 mg|0|4.8 g|0|0.11 mg|3 mg
DR164|Coconut umbut, fresh|Vegetables|Raw|1.3 g|89.3 g|0|16 mcg|39 Kal|49 mg|447.0 mg|57 mg|7.2 g|0|0.2 g|4 mg|0|2.0 g|0|0.10 mg|1.4 mg|2.5 g|0.20 mg|0.10 mg|8 mg
DR165|Rattan, unripe shoot|Vegetables|Raw|1.3 g|90.5 g|1.3 mg|14 mcg|34 Kal|79 mg|552.0 mg|89 mg|5.5 g|0|0.3 g|8 mg|0|2.4 g|0|0|1.9 mg|2.2 g|0.20 mg|0.20 mg|9 mg
DR166|Carrot, fresh|Vegetables|Raw|0.6 g|89.9 g|1.0 mg|3,784 mcg|36 Kal|74 mg|245.0 mg|45 mg|7.9 g|7,125 mcg|0.6 g|70 mg|1.0 mg|1.0 g|0|0.04 mg|0.3 mg|1.0 g|0.06 mg|0.04 mg|18 mg
EP001|Barongko|Fruits|Processed/Products|0.7 g|66.7 g|1.2 mg|0|159 Kal|65 mg|78.0 mg|35 mg|23.5 g|0|5.8 g|46 mg|0|3.1 g|0|0|0.6 mg|0|0.30 mg|0|0
EP002|Pineapple dodol|Fruits|Processed/Products|0.9 g|16.1 g|0|0|338 Kal|0|0|0|80.3 g|0|1.2 g|0|0|1.5 g|0|0|0|0|0|0.30 mg|8 mg
EP003|Getuk pisang|Fruits|Processed/Products|0.7 g|63.7 g|1.0 mg|0|144 Kal|32 mg|0|48 mg|34.1 g|1,240 mcg|0.4 g|0|0|1.1 g|0|0|0|0.4 g|0|0.55 mg|0 mg
EP004|Lampung cracker|Fruits|Processed/Products|1.5 g|5.0 g|0.8 mg|0|485 Kal|65 mg|0|43 mg|69.7 g|1,464 mcg|22.2 g|0|0|1.7 g|0|0|0|0.6 g|0|0.34 mg|0 mg
EP005|Ledre pisang|Fruits|Processed/Products|1.6 g|3.6 g|2.6 mg|4 mcg|405 Kal|124 mg|0|59 mg|84.9 g|7,330 mcg|5.1 g|0|0|4.8 g|0|0|0|0.4 g|0|0.41 mg|0 mg
EP006|Lempog durian|Fruits|Processed/Products|1.9 g|25.2 g|2.5 mg|0|320 Kal|93 mg|0|190 mg|63.7 g|0|5.7 g|0|0|3.5 g|0|0.04 mg|0|4.9 g|0|0.05 mg|0
EP007|Loka anjoro|Fruits|Processed/Products|1.3 g|63.3 g|0|0|163 Kal|0|0|0|30.0 g|0|4.3 g|0|0|1.1 g|0|0|0|0|0|0|0
EP008|Rica-rica taipa|Fruits|Processed/Products|1.4 g|86.7 g|3.0 mg|13 mcg|49 Kal|48 mg|42.0 mg|11 mg|10.0 g|0|0.3 g|426 mg|0|1.6 g|0|0|0.5 mg|0|0.50 mg|0.18 mg|15 mg
EP009|Rujak aceh|Fruits|Processed/Products|0.9 g|78.7 g|0|10 mcg|82 Kal|0|0|0|19.7 g|0|0.3 g|0|0|0.4 g|0|0.03 mg|0|2.4 g|0|0.22 mg|42 mg
EP010|Dried persimmon|Fruits|Processed/Products|1.8 g|25.0 g|0|0|296 Kal|0|0|0|71.4 g|0|0.6 g|0|0|1.1 g|0|0|0|0|0|0|3 mg
EP011|Dried banana|Fruits|Processed/Products|2.0 g|28.9 g|1.2 mg|0|281 Kal|64 mg|0|41 mg|66.1 g|272 mcg|0.7 g|0|0|2.4 g|0|0|0|1.0 g|0|0.10 mg|0 mg
EP012|Dried banana, cilacap|Fruits|Processed/Products|1.7 g|27.1 g|2.8 mg|0|295 Kal|97 mg|0|47 mg|66.9 g|296 mcg|2.1 g|0|0|2.3 g|0|0|0|1.3 g|0|0.14 mg|0
EP013|Sanggara belanda|Fruits|Processed/Products|1.2 g|47.1 g|0|0|242 Kal|0|0|0|38.2 g|0|7.1 g|0|0|6.4 g|0|0|0|0|0|0|0
EP014|Banana flour|Fruits|Processed/Products|2.1 g|13.8 g|4.0 mg|13 mcg|338 Kal|62 mg|734.0 mg|23 mg|80.6 g|1 mcg|0.4 g|18 mg|1.0 mg|2.9 g|0|0.02 mg|0.5 mg|5.3 g|0.10 mg|0.02 mg|2 mg
EP015|Breadfruit flour|Fruits|Processed/Products|2.1 g|10.1 g|4.6 mg|0 mcg|353 Kal|85 mg|2,008.0 mg|100 mg|84.4 g|0 mcg|0.5 g|9 mg|0.1 mg|2.9 g|0|0.02 mg|0.6 mg|3.7 g|0.10 mg|0.40 mg|3 mg
ER001|Avocado, fresh|Fruits|Raw|0.6 g|84.3 g|0.9 mg|189 mcg|85 Kal|20 mg|278.0 mg|10 mg|7.7 g|180 mcg|6.5 g|2 mg|1.0 mg|0.9 g|0|0.08 mg|0.4 mg|0|0.20 mg|0.05 mg|13 mg
ER002|Wild grape, fresh|Fruits|Raw|0.2 g|92.3 g|1.1 mg|0|30 Kal|12 mg|0|39 mg|6.8 g|1 mcg|0.2 g|0|0|0.5 g|0 mcg|0|0|1.2 g|0|0.01 mg|3 mg
ER003|Malang apple, fresh|Fruits|Raw|0.3 g|85.9 g|0.6 mg|26 mcg|57 Kal|18 mg|175.4 mg|9 mg|12.8 g|2,240 mcg|0.4 g|4 mg|0.1 mg|0.5 g|0|0.03 mg|0.0 mg|0.8 g|110.16 mg|0.05 mg|5 mg
ER004|Apple, fresh|Fruits|Raw|0.3 g|84.1 g|0.3 mg|30 mcg|58 Kal|10 mg|130.0 mg|6 mg|14.9 g|90 mcg|0.4 g|2 mg|0.1 mg|0.3 g|0|0.03 mg|0.3 mg|2.6 g|124.20 mg|0.04 mg|5 mg
ER005|Raspberry, fresh|Fruits|Raw|0.5 g|89.9 g|0.8 mg|2 mcg|37 Kal|27 mg|43.0 mg|28 mg|8.3 g|60 mcg|0.5 g|2 mg|0.1 mg|0.8 g|0|0.00 mg|18.9 mg|0|63.52 mg|0.03 mg|60 mg
ER006|Starfruit, fresh|Fruits|Raw|0.4 g|90.0 g|1.1 mg|29 mcg|36 Kal|12 mg|130.0 mg|4 mg|8.8 g|170 mcg|0.4 g|4 mg|0|0.4 g|0|0|0.1 mg|3.2 g|0|0.03 mg|35 mg
ER007|Loquat, fresh|Fruits|Raw|0.5 g|87.1 g|0.8 mg|0|51 Kal|14 mg|258.6 mg|220 mg|12.1 g|12,256 mcg|0.1 g|1 mg|0.0 mg|0.3 g|0 mcg|0.02 mg|0.0 mg|0.7 g|0.04 mg|0.10 mg|4 mg
ER008|Parinari, fresh|Fruits|Raw|1.8 g|92.0 g|4.6 mg|0|23 Kal|50 mg|0|30 mg|5.2 g|0 mcg|0.2 g|0|0|0.8 g|0|0|0|0|0|0.29 mg|38 mg
ER009|Kelenting fruit, fresh|Fruits|Raw|1.2 g|73.9 g|1.1 mg|0|110 Kal|102 mg|0.0 mg|8 mg|21.4 g|0|2.1 g|2 mg|0|1.4 g|0|0.10 mg|0.9 mg|0|0.30 mg|0.20 mg|6 mg
ER010|Indian jujube, fresh|Fruits|Raw|1.7 g|33.7 g|0.8 mg|0|264 Kal|92 mg|0|306 mg|59.6 g|400 mcg|1.1 g|0|0.0 mg|4.0 g|0 mcg|0|0|9.0 g|0|0.11 mg|9 mg
ER011|Velvet apple, fresh|Fruits|Raw|0.4 g|89.0 g|0.8 mg|141 mcg|39 Kal|17 mg|90.0 mg|43 mg|9.7 g|55 mcg|0.2 g|1 mg|0.1 mg|0.7 g|0|0.01 mg|0.1 mg|2.0 g|0.06 mg|0.02 mg|33 mg
ER012|Red dragon fruit, fresh|Fruits|Raw|0.4 g|85.7 g|0.4 mg|0 mcg|71 Kal|14 mg|128.0 mg|13 mg|9.1 g|0 mcg|3.1 g|10 mg|0.5 mg|1.7 g|0|0.30 mg|0.4 mg|3.2 g|0.00 mg|0.50 mg|1 mg
ER013|White dragon fruit, fresh|Fruits|Raw|0.6 g|86.6 g|0.5 mg|0 mcg|56 Kal|27 mg|231.0 mg|13 mg|10.9 g|0 mcg|1.0 g|7 mg|0.9 mg|0.8 g|0|0.50 mg|0.4 mg|3.2 g|0.00 mg|0.02 mg|1 mg
ER014|Passion fruit, fresh|Fruits|Raw|0.8 g|85.7 g|0.2 mg|460 mcg|55 Kal|40 mg|0.0 mg|30 mg|12.2 g|0|0.1 g|10 mg|0.1 mg|1.2 g|0|0.03 mg|0.3 mg|5.2 g|0.10 mg|0.33 mg|9 mg
ER015|Wild sweetsop, fresh|Fruits|Raw|1.0 g|71.5 g|0.8 mg|49 mcg|101 Kal|20 mg|312.5 mg|27 mg|25.2 g|0|0.6 g|5 mg|0.9 mg|1.7 g|0|0.16 mg|0.1 mg|2.8 g|325.70 mg|0.08 mg|22 mg
ER016|Asam paya, fresh|Fruits|Raw|1.5 g|79.4 g|3.4 mg|0|78 Kal|7 mg|495.0 mg|1 mg|18.2 g|0|0.3 g|7 mg|0|0.6 g|0|0.00 mg|0.7 mg|0|0.30 mg|0.12 mg|5 mg
ER017|Indian plum, fresh|Fruits|Raw|0.8 g|71.3 g|1.2 mg|17 mcg|113 Kal|52 mg|219.0 mg|108 mg|26.8 g|0|0.3 g|2 mg|0|0.8 g|0|0.01 mg|0.9 mg|7.7 g|0.30 mg|0.06 mg|20 mg
ER018|Ruruhi fruit (Syzygium polycephalum Merr), fresh|Fruits|Raw|0.3 g|93.0 g|0.0 mg|7 mcg|29 Kal|7 mg|45.0 mg|6 mg|3.6 g|0|0.7 g|36 mg|0|2.1 g|0|0.01 mg|0.1 mg|2.6 g|0.00 mg|0.06 mg|10 mg
ER019|Tuppa fruit, fresh|Fruits|Raw|1.0 g|82.5 g|0.5 mg|0|67 Kal|139 mg|0.0 mg|12 mg|15.9 g|0|0.2 g|2 mg|0|0.4 g|0|0.01 mg|0.5 mg|0|0.20 mg|0.04 mg|5 mg
ER020|Papaya, fresh|Fruits|Raw|0.9 g|93.4 g|1.8 mg|0 mcg|24 Kal|33 mg|0|51 mg|3.7 g|1,000 mcg|0.2 g|0|0.0 mg|1.9 g|0 mcg|0.07 mg|0|1.0 g|0|0.32 mg|85 mg
ER021|Cempedak (Artocarpus integer), fresh|Fruits|Raw|1.0 g|67.0 g|1.5 mg|79 mcg|116 Kal|30 mg|243.7 mg|20 mg|28.6 g|200 mcg|0.4 g|25 mg|0.5 mg|3.0 g|0|0|0|3.4 g|0|0.00 mg|15 mg
ER022|Langsat, fresh|Fruits|Raw|0.7 g|82.0 g|0.9 mg|0 mcg|63 Kal|9 mg|149.0 mg|18 mg|16.1 g|0 mcg|0.2 g|2 mg|1.5 mg|1.0 g|0|0.15 mg|0.2 mg|4.3 g|0.09 mg|0.05 mg|9 mg
ER023|Durian, fresh|Fruits|Raw|8.0 g|65.0 g|1.3 mg|146 mcg|134 Kal|44 mg|601.0 mg|7 mg|28.0 g|175 mcg|3.0 g|1 mg|136.5 mg|2.5 g|0|0.19 mg|0.3 mg|3.5 g|0.12 mg|0.10 mg|53 mg
ER024|Java plum, fresh|Fruits|Raw|0.5 g|80.2 g|1.3 mg|329 mcg|80 Kal|138 mg|92.7 mg|33 mg|18.2 g|0 mcg|0.6 g|16 mg|2.5 mg|0.5 g|0 mcg|0.01 mg|0.3 mg|0.9 g|191.28 mg|0.02 mg|130 mg
ER025|Saipan mango, fresh|Fruits|Raw|0.5 g|72.5 g|0.5 mg|2,533 mcg|98 Kal|15 mg|250.9 mg|21 mg|25.4 g|1,218 mcg|0.2 g|3 mg|0.7 mg|1.4 g|0|0.09 mg|0.1 mg|1.9 g|0.13 mg|0.03 mg|56 mg
ER026|Tamarillo, fresh|Fruits|Raw|1.5 g|73.0 g|3.2 mg|0|122 Kal|69 mg|0|63 mg|17.5 g|2,357 mcg|4.5 g|0|0|3.5 g|0 mcg|0|0|9.3 g|0|0.02 mg|0 mg
ER027|Granadilla, fresh|Fruits|Raw|0.5 g|80.0 g|1.1 mg|549 mcg|70 Kal|50 mg|257.1 mg|11 mg|18.9 g|10 mcg|0.0 g|21 mg|1.1 mg|0.6 g|0|0.10 mg|0.1 mg|7.7 g|0.06 mg|0.00 mg|16 mg
ER028|Ripe plum mango|Fruits|Raw|0.4 g|80.8 g|1.0 mg|329 mcg|68 Kal|20 mg|129.0 mg|9 mg|18.0 g|1,020 mcg|0.1 g|3 mg|0.7 mg|0.7 g|0|0.07 mg|0|2.2 g|0|0.03 mg|111 mg
ER029|Tahitian chestnut, fresh|Fruits|Raw|1.6 g|52.7 g|3.2 mg|51 mcg|191 Kal|69 mg|403.3 mg|186 mg|39.7 g|0|1.5 g|17 mg|1.8 mg|4.5 g|0|0.20 mg|1.3 mg|13.4 g|0.69 mg|0.05 mg|0
ER030|Water apple, fresh|Fruits|Raw|0.8 g|87.0 g|1.1 mg|92 mcg|46 Kal|9 mg|321.2 mg|8 mg|11.8 g|0|0.2 g|11 mg|4.6 mg|0.6 g|0|0.38 mg|0.1 mg|2.1 g|0|0.02 mg|5 mg
ER031|Guava|Fruits|Raw|0.6 g|86.0 g|1.1 mg|27 mcg|49 Kal|28 mg|52.8 mg|14 mg|12.2 g|25 mcg|0.3 g|10 mg|0.8 mg|0.9 g|0|0.03 mg|0.3 mg|2.4 g|0.02 mg|0.02 mg|87 mg
ER032|Common guava|Fruits|Raw|0.6 g|82.8 g|0.2 mg|53 mcg|61 Kal|41 mg|103.0 mg|31 mg|15.4 g|18 mcg|0.3 g|20 mg|1.3 mg|0.9 g|0|0.06 mg|0.5 mg|4.5 g|0.04 mg|1.02 mg|116 mg
ER033|Malay apple, fresh|Fruits|Raw|0.8 g|87.1 g|0.3 mg|92 mcg|49 Kal|8 mg|14.0 mg|8 mg|9.6 g|0|0.2 g|1 mg|0.5 mg|2.3 g|0|0.01 mg|0.0 mg|3.5 g|0.00 mg|0.13 mg|22 mg
ER034|Cashew apple, fresh|Fruits|Raw|0.3 g|82.6 g|0.5 mg|1,604 mcg|64 Kal|13 mg|107.8 mg|4 mg|15.8 g|25 mcg|0.6 g|12 mg|2.0 mg|0.7 g|0|0.00 mg|0|1.2 g|0|0.02 mg|197 mg
ER035|Pomelo, fresh|Fruits|Raw|0.5 g|86.3 g|0.5 mg|33 mcg|48 Kal|27 mg|366.1 mg|23 mg|12.4 g|20 mcg|0.2 g|21 mg|0.4 mg|0.6 g|0|0.00 mg|0.1 mg|0.8 g|171.25 mg|0.04 mg|43 mg
ER036|Tangerine, fresh|Fruits|Raw|0.4 g|84.5 g|0.2 mg|9 mcg|61 Kal|13 mg|79.0 mg|9 mg|14.1 g|0|0.2 g|3 mg|0.3 mg|0.8 g|0|0.03 mg|0.1 mg|5.4 g|0.10 mg|0.12 mg|31 mg
ER037|Mandarin orange|Fruits|Raw|0.7 g|87.3 g|0.4 mg|0 mcg|44 Kal|23 mg|518.1 mg|33 mg|10.9 g|420 mcg|0.3 g|5 mg|0.2 mg|0.8 g|0|0.03 mg|0.2 mg|1.6 g|169.30 mg|0.07 mg|31 mg
ER038|Calamansi, fresh|Fruits|Raw|0.4 g|90.2 g|0.5 mg|1 mcg|39 Kal|85 mg|82.0 mg|42 mg|8.9 g|0 mcg|0.3 g|3 mg|0.0 mg|0.3 g|0|0.10 mg|0.1 mg|2.3 g|0.30 mg|0.02 mg|30 mg
ER039|Sweet orange, fresh|Fruits|Raw|0.5 g|87.2 g|0.4 mg|0 mcg|45 Kal|23 mg|472.1 mg|33 mg|11.2 g|190 mcg|0.2 g|4 mg|0.2 mg|0.9 g|0|0.03 mg|0.2 mg|1.4 g|160.00 mg|0.08 mg|49 mg
ER040|Lime, fresh|Fruits|Raw|0.4 g|88.9 g|0.2 mg|23 mcg|44 Kal|22 mg|108.9 mg|18 mg|10.0 g|4 mcg|0.2 g|3 mg|0.2 mg|0.5 g|0|0.03 mg|0.1 mg|0.4 g|0.06 mg|0.01 mg|20 mg
