FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP007|Vitamin C (Vit. C)|0 mg|Vermicelli, fried, instant|Cereals|Processed/Products
AP008|Air (Water)|11.3 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Energi (Energy)|354 Kal|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Protein (Protein)|0.5 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Lemak (Fat)|0.3 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Karbohidrat (CHO)|87.4 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Serat (Fibre)|3.0 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Abu (ASH)|0.5 g|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Kalsium (Ca)|13 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Fosfor (P)|111 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Besi (Fe)|0.6 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Natrium (Na)|49 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Kalium (K)|1.4 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Tembaga (Cu)|0.40 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Seng (Zn)|0.0 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Beta-Karoten (Carotenes)|0 mcg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Karoten Total (Re)|0 mcg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Thiamin (Vit. B1)|0.02 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Riboflavin (Vit. B2)|0.02 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Niasin (Niacin)|0.3 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP008|Vitamin C (Vit. C)|0 mg|Corn vermicelli, raw|Cereals|Processed/Products
AP009|Air (Water)|11.0 g|Corn rice|Cereals|Processed/Products
AP009|Energi (Energy)|357 Kal|Corn rice|Cereals|Processed/Products
AP009|Protein (Protein)|8.8 g|Corn rice|Cereals|Processed/Products
